age_kyr_bp,co2_ppm
37.302,209.7
37.338,206.6
37.431,212.5
37.461,209.8
37.619,214.3
37.648,212.1
37.777,212.1
37.895,214.2
38.0,211.2
38.089,214.4
38.166,208.3
38.192,206.5
38.284,207.4
38.359,208.0
38.413,210.8
38.473,207.2
38.533,210.1
38.574,208.2
38.622,204.8
38.671,204.5
38.723,206.5
38.813,206.1
38.875,205.7
38.956,206.0
38.977,202.3
39.054,204.3
39.12,207.3
39.266,208.7
39.303,209.5
39.32,209.3
39.34,207.9
39.379,204.8
39.403,191.5
39.454,198.1
39.515,200.4
39.621,195.7
39.709,196.7
39.757,193.6
39.885,193.9
39.901,197.6
40.043,192.6
40.112,193.1
40.145,193.7
40.308,197.9
40.486,201.3
40.553,201.5
40.754,200.5
40.907,201.0
41.168,201.5
41.304,204.2
41.606,205.5
41.759,201.1
41.901,199.9
42.316,200.9
42.628,204.8
42.85,206.3
42.968,204.3
43.172,203.2
43.351,201.7
43.516,204.2
43.661,203.2
43.809,201.7
44.095,204.3
44.204,202.0
44.35,206.2
44.49,204.8
44.656,212.3
44.816,210.4
44.996,211.5
45.142,207.9
45.28,213.9
45.46,214.5
45.696,217.5
45.877,222.7
46.057,221.8
46.181,219.2
46.309,218.3
46.636,216.4
46.746,214.2
46.888,210.8
47.086,210.3
47.315,207.6
47.524,204.3
47.71,203.8
47.944,205.7
48.223,206.2
48.428,201.0
48.988,201.6
49.303,200.1
49.463,204.1
49.728,203.9
50.007,204.4
50.221,206.7
50.527,207.4
51.029,207.6
51.431,211.6
51.78,215.1
52.087,213.8
52.385,219.1
52.574,220.7
52.801,221.2
53.108,223.7
53.4,223.3
53.806,221.1
54.157,220.4
54.387,218.0
54.695,213.9
55.014,216.9
55.293,208.2
55.553,214.8
55.91,210.3
56.237,207.7
56.504,212.4
57.211,215.7
57.476,217.4
57.844,223.7
58.217,224.3
58.433,223.2
59.105,231.3
59.38,226.3
59.733,223.4
60.11,216.7
60.373,212.9
60.517,217.2
60.818,213.8
61.061,207.9
61.235,210.6
61.554,210.9
61.901,206.4
62.552,202.6
62.775,202.7
62.961,200.2
63.556,197.4
63.897,197.2
64.114,199.7
64.657,203.7
64.867,201.7
65.047,199.2
65.546,209.0
65.765,198.2
65.937,200.6
66.439,204.4
66.96,207.2
67.315,201.1
67.73,203.8
68.146,200.2
68.62,203.4
69.082,205.4
69.592,211.3
70.052,215.6
70.427,220.3
70.929,225.2
71.279,235.0
71.694,237.6
72.093,239.5
72.49,232.8
72.866,232.3
73.219,230.9
73.751,232.7
74.221,231.3
74.526,241.2
75.068,243.3
75.545,249.5
75.851,249.9
76.247,239.3
76.697,238.0
77.056,231.7
77.616,224.9
78.081,226.7
78.508,224.1
78.97,227.3
79.41,229.3
79.878,234.7
80.33,230.6
80.722,233.9
81.207,230.3
81.711,234.1
82.069,238.9
82.527,240.9
82.988,246.3
83.554,247.1
83.941,250.8
84.357,243.2
84.937,238.4
85.367,234.7
85.891,228.8
86.498,223.4
87.028,221.1
87.581,223.6
88.136,217.8
88.701,224.0
89.245,227.4
89.696,228.9
90.317,229.7
90.834,231.6
91.445,231.1
91.95,233.7
92.668,232.5
93.425,235.2
93.823,238.2
94.569,242.4
95.234,242.9
95.921,246.2
96.475,245.8
97.271,242.3
97.927,239.9
98.584,243.2
99.361,243.0
100.077,245.6
100.543,247.9
101.326,244.8
101.972,240.1
102.765,237.1
103.309,240.7
104.274,247.8
104.331,238.9
104.966,242.4
105.507,248.8
105.99,257.6
106.256,241.4
106.368,244.8
106.975,240.3
108.402,236.4
109.129,244.4
109.84,244.1
110.555,246.7
111.877,257.9
112.636,256.8
112.942,263.1
113.119,264.8
113.679,260.6
114.25,267.9
114.815,275.1
115.447,277.0
115.909,273.2
116.476,273.6
117.186,274.0
117.619,275.0
118.658,277.7
119.243,267.7
119.716,274.6
120.144,268.7
120.543,276.8
121.426,279.5
121.842,276.6
122.1,278.2
122.292,279.0
123.014,279.2
123.631,274.6
123.959,275.9
124.405,281.5
124.817,275.5
125.293,276.8
126.014,275.1
126.7,273.0
126.962,274.9
127.314,275.8
127.504,276.9
128.024,276.0
128.173,280.7
128.467,285.8
128.878,271.1
129.078,268.4
129.656,260.6
130.373,251.8
130.818,250.8
131.322,241.1
131.976,232.3
132.71,228.0
132.932,224.6
133.776,222.7
134.522,212.4
136.566,203.7
137.763,199.2
138.834,198.6
139.95,192.8
142.361,196.5
143.651,194.6
144.8,196.0
146.108,193.6
148.233,195.8
149.466,201.8
150.595,202.5
151.445,202.3
153.775,198.8
154.889,196.3
